id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2086426000000001
0.csv_Day7_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2122046
0.csv_Day7_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1752062000000003
0.csv_Day7_6h30m,0.0,0.0,0.0,0.0,0.0,0.0,1.0707794,0.0,5.595002
0.csv_Day7_7h00m,0.0,0.0,0.0,0.0,0.0,1.2844242000000001,2.280665,1.7881601000000003,9.110596000000001
0.csv_Day7_7h30m,0.0,0.0,0.0,1.0589205,1.4294677,3.1778831000000003,5.359521400000001,5.319397,14.461405
0.csv_Day7_8h00m,0.0,1.5720439,1.5856061000000001,3.132989,4.2572209999999995,6.2381425,9.677077,10.927467,19.83726
0.csv_Day7_8h30m,0.0,5.001844,4.3387923,7.11395,8.653907,11.177415,16.440334,18.165,25.539356
0.csv_Day7_9h00m,1.7558563000000003,8.406706,7.882920299999999,11.642332000000001,13.688841,16.757685000000002,23.783884,26.216038,32.306290000000004
0.csv_Day7_9h30m,4.538896599999999,11.341241,11.327771,17.07324,19.093061,22.373976000000003,31.226872999999998,34.324172999999995,38.01907
0.csv_Day7_10h00m,7.881520299999999,14.889659,15.221511999999999,21.833479999999998,24.610165,28.085891999999998,37.9667,41.677307,42.02263
0.csv_Day7_10h30m,10.728221000000001,17.036386,18.28949,25.83993,29.351767,33.191326000000004,43.507509999999996,46.775290000000005,45.671864
0.csv_Day7_11h00m,12.044953999999999,19.523838,21.797338,29.868462,33.54251,36.21737,47.027836,50.780277000000005,49.68631
0.csv_Day7_11h30m,13.32668,20.048557000000002,23.69631,33.548058000000005,35.908367,38.226208,47.949863,53.228621999999994,53.60293000000001
0.csv_Day7_12h00m,14.482625,20.144547,23.65086,36.029465,36.50951,39.01283,49.211613,54.46858,55.998943000000004
0.csv_Day7_12h30m,14.676066,19.96013,22.919404999999998,35.891163,36.285038,39.35843,49.590137,53.043243000000004,55.94785699999999
0.csv_Day7_13h00m,14.403081,18.33556,21.298685,33.129321999999995,34.85995,39.90108,48.048794,49.969078,52.56828
0.csv_Day7_13h30m,12.621552000000001,16.223536,20.124222,29.007261,32.062428000000004,39.2735,44.471794,45.37273,46.275257
0.csv_Day7_14h00m,10.737673,13.30083,18.629739999999998,25.511020000000002,28.847168,36.99476,41.696415,40.459785,39.857727000000004
