id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6075914
0.csv_Day7_6h30m,0.0,0.0,0.0,0.0,0.0,1.726676,1.8655633,0.0,6.038899
0.csv_Day7_7h00m,0.0,0.0,1.0212705,0.0,0.0,3.2860274,4.1454988,3.4373395,9.969232
0.csv_Day7_7h30m,0.0,0.0,1.8288586,0.0,0.0,5.017635,7.882558,8.097805,14.122962
0.csv_Day7_8h00m,0.0,2.9215605,3.8458328,3.697495,2.2655823,7.6180706,13.1526575,13.289995,20.313932
0.csv_Day7_8h30m,1.0011942,5.3250046,7.035279,7.136421,5.8975544,11.870032,18.782784,19.963964,27.493055
0.csv_Day7_9h00m,2.57846,8.068985,10.056717,11.285543,11.725106,17.231153,24.77754,27.537802,34.68321
0.csv_Day7_9h30m,5.252965,10.955711,13.252567,15.201284,18.399088,23.074228,30.711329,35.276665,41.676617
0.csv_Day7_10h00m,8.165098,13.662417,17.560715,20.086756,25.398144,29.709827,36.800125,42.613186,49.839424
0.csv_Day7_10h30m,11.188586,16.743193,23.050213,24.748125,31.380507,35.544888,42.414684,48.844364,57.12214
0.csv_Day7_11h00m,14.914408,19.039335,28.159225,29.102606,36.286106,40.54818,46.490574,53.2197,62.10656
0.csv_Day7_11h30m,18.376455,19.00511,30.178144,33.3534,38.461254,44.72581,48.415752,56.063606,65.49929
0.csv_Day7_12h00m,18.878325,19.175558,29.579094,36.99748,39.567722,47.332657,48.800243,57.046883,65.62802
0.csv_Day7_12h30m,18.296825,18.173128,28.225485,38.245373,38.62333,46.61996,48.25385,56.941757,64.61098
0.csv_Day7_13h00m,16.799631,17.79842,25.906595,35.324276,35.6713,43.202347,46.312824,54.24238,60.58343
0.csv_Day7_13h30m,14.69125,17.380415,21.12555,30.80494,34.329155,39.344227,42.27415,48.207058,55.718292
0.csv_Day7_14h00m,12.1574,14.490549,17.57636,25.981174,31.530079,35.699818,35.865753,40.194294,48.21816
0.csv_Day7_14h30m,8.671947,10.9652815,14.765548,22.117664,25.9719,30.30252,29.083025,31.216217,39.896923
0.csv_Day7_15h00m,6.5290365,7.2777815,11.680406,16.875174,18.673054,23.599052,23.124407,22.380802,31.544315
